item_id,domain,group,standards,item_information,prompt,option_a,option_b,option_c,correct,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
S11ESS1.1M12,NA,11,S11ESS1.1,"M - Here are some plants. (Point to prompt.) Which provides energy for plants to survive: the Sun, the Moon, or Saturn?",Which provides energy for plants to survive?,Sun,Moon,Saturn,a,Flower53.ai,Sun1.ai,Moon_Stars6.ai,Saturn.ai,Plants_Outdoors/Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1M13,NA,11,S11ESS1.1,"M - Here are some animals. (Point to prompt.) Which provides heat energy to animals on Earth: Saturn, the Moon, or the Sun?",Which provides heat energy to animals on Earth?,Saturn,Moon,Sun,c,Lion_Zeebra.ai,Saturn.ai,Moon_Stars6.ai,Sun1.ai,Animals/Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1M18,NA,11,S11ESS1.1,"M - Here are three pictures. (Point to answer choices.) Which warms animals on the Earth: Mars, Sun, or satellite?",Which warms animals on the Earth?,Mars,Sun,satellite,b,NA,Planet3.ai,Sun1.ai,Satellite.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1M19,NA,11,S11ESS1.1,"M - Here is the Sun, Moon, and Saturn.  (Point to answer choices.) Which provides heat energy to plants and animals on Earth: Sun, Moon, or Saturn?",Which provides heat energy to plants and animals on Earth?,Sun,Moon,Saturn,a,NA,Sun1.ai,Moon3.ai,Saturn.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1M2,NA,11,S11ESS1.1,"M - This is a cold-blooded snake. (Point to prompt.)  Which warms up rocks to keep snakes warm: wind, Sun, or rain?",Which warms up rocks to keep snakes warm?,wind,Sun,rain,b,Snake_Rock1.ai,Snake_Rock_Wind.ai,Snake_Rock_Sun.ai,Snake_Rock_Rain.ai,Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1M3,NA,11,S11ESS1.1,"M - A lizard might get too hot in the Sun. (Point to lizard in prompt.)  What could a lizard do to cool off: stay in the Sun, run in the Sun, or move to the shade?",What could a lizard do to cool off?,stay in the Sun,run in the Sun,move to the shade,c,Lizard_Rock_Sun1.ai,Lizard_Rock_Sun1.ai,Lizard_Walking_Sun.ai,Lizard_Rock_Sun2.ai,Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1M8,NA,11,S11ESS1.1,"M - Here are a flower and grass. (Point to answer choices.) Which gives light energy for flowers and grass to grow: Moon, Sun, or stars?",Which gives light energy for flowers and grass to grow?,Moon,Sun,stars,b,Flower53.ai,Moon3.ai,Sun1.ai,Stars6.ai,Plants_Outdoors/Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.93,NA,NA,NA
S11ESS1.1M9,NA,11,S11ESS1.1,"M - Here are three pictures. (Point to answer choices.) Which keeps the Earth warm for plants and animals to live: Sun, Moon or stars?",Which keeps the Earth warm for plants and animals to live?,Sun,Moon,stars,a,NA,Sun1.ai,Moon3.ai,Stars6.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.1MSAMPLE,NA,11,S11ESS1.1,"M - This is a cold-blooded lizard. (Point to prompt.)  Which helps lizards stay warm: comet, Sun, or clouds?",Which helps lizards stay warm?,comet,Sun,cloud,b,Lizard_Rock.ai,Comet.ai,Sun1.ai,Cloud18.ai,Animals/Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4H10,NA,11,S11ESS1.4,"H - Here are three objects in space.  (Point to answer choices.) Which shows something man-made that orbits the Earth: Sun, Saturn, or space station?",Which shows something man-made that orbits the Earth?,Sun,Saturn,space station,c,NA,Sun1.ai,Earth3.ai,Satellite.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4H15,NA,11,S11ESS1.4,"H - The International Space Station orbits the Earth. (Point to picture of ISS in prompt.) Which force holds the space station in orbit around the Earth: gravity, wind, or electricity?",Which force holds the space station in orbit around the Earth?,gravity,wind,electricity,a,Satellite_Orbiting_Earth2.ai,Earth_Arrows4.ai,Wind8.ai,Lightning4.ai,Astronomy/Weather,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11ESS1.4H15_intro.mp3,Science_G11_S11ESS1.4H15_stem.mp3,Science_G11_S11ESS1.4H15_a.mp3,Science_G11_S11ESS1.4H15_b.mp3,Science_G11_S11ESS1.4H15_c.mp3,FT,NA,OI,OI,NA,1.31,NA,0.65,0.65
S11ESS1.4H19,ESS - OI,11,S11ESS1.4,"H - Here is the Earth, Moon and a satellite. (Point prompt.) Which is man-made and orbits the Earth due to gravity: Sun, satellite, or Moon?",Which is man-made and orbits the Earth due to gravity?,Sun,satellite,Moon,b,Moon_Satellite_Orbiting_Earth.ai,Sun1.ai,Satellite.ai,Moon5.ai,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.01,1.01,NA,NA
S11ESS1.4H20,NA,11,S11ESS1.4,"H - Here are some objects in space. (Point prompt.) Which is naturally occurring and orbits the Earth: Sun, satellite, or Moon?",Which is naturally occurring and orbits the Earth?,Sun,satellite,Moon,c,Moon_Satellite_Orbiting_Earth.ai,Sun120.ai,Satellite.ai,Moon5.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4H5,NA,11,S11ESS1.4,"H - Here is a picture of the Earth, the Moon, and the Sun. (Point to each part of model in prompt.) Which force keeps the Earth and Moon in orbit around the Sun: gravity, heat, or electricity?",Which force keeps the Earth and Moon in orbit around the Sun?,gravity,heat,electricity,a,Sun_Earth_Moon.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4H9,NA,11,S11ESS1.4,"H - Here are three objects in space. (Point to answer choices.) Which shows something man-made that orbits the Earth: Sun, satellite, or asteroid?",Which shows something man-made that orbits the Earth?,Sun,satellite,asteroid,b,NA,Sun1.ai,Satellite.ai,Comet.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4HSAMPLE,NA,11,S11ESS1.4,"H - Here is a picture of the Earth, Moon and a satellite. (Point to each part of model in prompt.) Which force keeps the satellite in orbit around the Earth: friction, wind, or gravity?",Which force keeps the satellite in orbit around the Earth?,friction,wind,gravity,c,Moon_Satellite_Orbiting_Earth.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4L1,ESS - OI,11,S11ESS1.4,"L - This is the Sun, Earth, and Moon. (Point to prompt.) Which orbits the Earth due to gravity: birds, the Moon, or water?",Which orbits the Earth due to gravity?,birds,Moon,water,b,Sun_Earth_Moon.ai,Bird3.ai,Moon3.ai,Lake1.ai,Astronomy/Animals/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.74,NA,NA,NA
S11ESS1.4L11,NA,11,S11ESS1.4,"L - Here are three objects in space. (Point to diagram.) Which is the Earth: A, B, or C?",Which is the Earth?,A,B,C,a,Earth_Moon_Orbiting_Sun_ABC.ai,Earth3.ai,Moon5.ai,Sun1.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4L12,NA,11,S11ESS1.4,"L - Here are three objects in space. (Point to diagram?) Which is the Moon: A, B, or C?",Which is the Moon?,A,B,C,b,Earth_Moon_Orbiting_Sun_ABC.ai,Earth3.ai,Moon5.ai,Sun1.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4L16,NA,11,S11ESS1.4,"L - Here are three objects in space. (Point to answer choices.) Which of these is the Moon: A, B or C?",Which of these is the Moon?,A,B,C,b,NA,Sun1.ai,Moon_Stars6.ai,Satellite.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4L2,ESS - OI,11,S11ESS1.4,"L - This is the Sun, Earth, and Moon.  (Point to prompt.) Which orbits the Sun due to gravity: the Earth, stars, or trees?",Which orbits the Sun due to gravity?,Earth,stars,trees,a,Earth_Moon_Orbiting_Sun1.ai,Earth3.ai,Stars6.ai,Forest3.ai,Astronomy/Plants_Outdoors,prompt + graphic,graphic + word,graphic + word,graphic + word,Science_G11_S11ESS1.4L2_intro.mp3,Science_G11_S11ESS1.4L2_stem.mp3,Science_G11_S11ESS1.4L2_a.mp3,Science_G11_S11ESS1.4L2_b.mp3,Science_G11_S11ESS1.4L2_c.mp3,FT,OI,OI,OI,NA,0.86,0.86,0.86,0.86
S11ESS1.4L6,NA,11,S11ESS1.4,"L - Here are three objects in space. (Point to answer choices.) Which shows the Moon and stars: A, B, or C?",Which shows the Moon and stars?,A,B,C,b,NA,Sun1.ai,Moon_Stars6.ai,Earth3.ai,Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M13,NA,11,S11ESS1.4,"M - The planet Saturn has rings made of rocks and ice. (Point to picture of Saturn in prompt.) Which keeps Saturn's rings from floating away: electricity, magnets, or gravity?",The planet Saturn has rings made of rocks and ice. Which keeps Saturn's rings from floating away?,electricity,magnets,gravity,c,Saturn.ai,NA,NA,NA,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M14,NA,11,S11ESS1.4,"M - Many planets have moons. (Point to picture of moon in prompt.) Which force keeps moons in orbit around their planet: gravity, wind, or electricity?",Which force keeps moons in orbit around their planet?,gravity,wind,electricity,a,Saturn_Moons.ai,Saturn_Arrows2.ai,Wind8.ai,Lightning4.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M17,NA,11,S11ESS1.4,"M - This is the solar system. (Point to prompt.) Which force holds the planets in orbit around the Sun: gravity, wind, or lightning?",Which force holds the planets in orbit around the Sun?,gravity,wind,lightning,a,Planets_Orbiting_Sun.ai,Sun_Arrows.ai,Wind8.ai,Lightning1.ai,Astronomy/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M18,NA,11,S11ESS1.4,"M - Here is the Moon and the Earth. (Point to prompt.) Which force causes the Moon to orbit the Earth: lightning, magnetic, or gravity?",Which force causes the Moon to orbit the Earth?,lightning,magnetic,gravity,c,Moon_Orbiting_Earth3.ai,Lightning1.ai,Magnet1.ai,Earth_Arrows4.ai,Astronomy/Weather/Misc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M3,NA,11,S11ESS1.4,"M - This is the Earth. (Point to prompt.) Which does gravity keep in orbit around the Earth: Jupiter, Neptune, or satellites?",Which does gravity keep in orbit around the Earth?,Jupiter,Neptune,satellites,c,Satellite_Orbiting_Earth2.ai,Jupiter2.ai,Planet4.ai,Satellite.ai,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M4,NA,11,S11ESS1.4,"M - This is the solar system. (Point to prompt.) Which does gravity keep in orbit around the Sun: planets, stars, or fish?",Which does gravity keep in orbit around the Sun?,planets,stars,fish,a,Planets_Orbiting_Sun.ai,Planets.ai,Stars6.ai,Fish12.ai,Astronomy/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M7,NA,11,S11ESS1.4,"M - Here are three objects in space.  (Point to answer choices.) Which orbits the Earth and can be seen at night: Sun, Moon, or star?",Which orbits the Earth and can be seen at night?,Sun,Moon,star,b,NA,Sun1.ai,Moon3.ai,Star2.ai,Weather/Astronomy/Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS1.4M8,NA,11,S11ESS1.4,"M - Here are three objects in space.  (Point to answer choices.) Which has liquid water and orbits the Sun: stars, Moon, or Earth?",Which has liquid water and orbits the Sun?,stars,Moon,Earth,c,NA,Stars6.ai,Moon3.ai,Earth3.ai,Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1H10,ESS - FT,11,S11ESS2.1,"H - Here is a volcano. (Point to prompt.) Which formed the rocky fields around this volcano: wind, Moon, or lava?",Which formed the rocky fields around this volcano?,wind,Moon,lava,c,Volcano4.ai,Wind8.ai,Moon_Stars6.ai,Volcano3.ai,Plants_Outdoors/Weather/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.84,NA,NA
S11ESS2.1H14,NA,11,S11ESS2.1,"H - This is an island. (Point to island in prompt.) Which process could form an island: volcanic eruption, earthquake, or thunderstorm?",Which process could form an island?,volcanic eruption,earthquake,thunderstorm,a,Island4.ai,Volcano1.ai,Earthquake2.ai,Lightning2.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1H15,NA,11,S11ESS2.1,"H - After millions of years, a river can erode rock. (Point to river in prompt.) Which is formed by river erosion: an island, canyon, or a crater?",Which is formed by river erosion?,island,canyon,crater,b,River7.ai,Island4.ai,River12.ai,Crater1.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1H20,NA,11,S11ESS2.1,"M - Here are three Earth features. (Point to answers.) Which Earth feature is associated with volcanic eruptions: mountain, stream, or canyon?",Which Earth feature is associated with volcanic eruptions?,mountain,stream,canyon,a,NA,Mountain13.ai,River18.ai,Canyon3.ai,Plants_Outdoors,prompt (SM),graphic + word,graphic + word,graphic + word,Science_G11_S11ESS2.1H20_intro.mp3,Science_G11_S11ESS2.1H20_stem.mp3,Science_G11_S11ESS2.1H20_a.mp3,Science_G11_S11ESS2.1H20_b.mp3,Science_G11_S11ESS2.1H20_c.mp3,NA,NA,FT,OI,NA,NA,NA,1.02,1.02
S11ESS2.1H4,NA,11,S11ESS2.1,"H - Here are three places. (Point to prompt.) Which might have been formed by a volcano: a desert, a river, or an island?",Which might have been formed by a volcano?,desert,river,island,c,NA,Desert10.ai,River18.ai,Island2.ai,Plants_Outdoors,prompt (SM),graphic + word,graphic + word,graphic + word,Science_G11_S11ESS2.1H4_intro.mp3,Science_G11_S11ESS2.1H4_stem.mp3,Science_G11_S11ESS2.1H4_a.mp3,Science_G11_S11ESS2.1H4_b.mp3,Science_G11_S11ESS2.1H4_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,0.4992
S11ESS2.1H5,NA,11,S11ESS2.1,"H - This cliff is being eroded. (Point to cliff in prompt.) Which type of erosion might have shaped this cliff: water, wind, or chemical?",Which type of erosion might have shaped this cliff?,water,wind,chemical,a,Wave4.ai,NA,NA,NA,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1L1,NA,11,S11ESS2.1,"L - Here are three pictures. (Point to prompt.) Which can cause water erosion: wind, rain, or mountain?",Which can cause water erosion?,wind,rain,mountain,b,NA,Wind8.ai,Rain14.ai,Mountain2.2.ai,Weather/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1L11,NA,11,S11ESS2.1,"L - Here are three pictures. (Point to answer choices.) Which shows wind erosion: A, B, or C?",Which shows wind erosion?,A,B,C,c,NA,River18.ai,Rain14.ai,Desert7.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1L16,NA,11,S11ESS2.1,"L - Here are three pictures. (Point to answers.) Which shows water erosion: sand dune, outer space, or river canyon?",Which shows water erosion?,sand dune,outer space,river canyon,a,NA,Sand_Dune3.ai,Moon_Stars2.ai,River12.ai,Plants_Outdoors/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1L17,NA,11,S11ESS2.1,"L - Here are three pictures. (Point to answers.) Which can cause water erosion: wind, outer space, or river?",Which can cause water erosion?,wind,outer space,river,c,NA,Desert5.ai,Moon_Stars2.ai,River12.ai,Plants_Outdoors/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1L6,ESS - OI,11,S11ESS2.1,"L - Here is a beach. (Point to prompt.) Which can cause beach erosion: trees, waves, or fire?",Which can cause beach erosion?,trees,waves,fire,b,Ocean4.ai,Forest6.ai,Wave2.ai,Fire2.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,-0.54,-0.54,NA,NA
S11ESS2.1L7,NA,11,S11ESS2.1,"L - Here are three pictures. (Point to answers.) Which shows wind erosion: A, B, or C?",Which shows wind erosion?,A,B,C,a,NA,Sand_Dune_Wind.ai,Sun1.ai,River18.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1LSAMPLE,NA,11,S11ESS2.1,"L - Here are three pictures. (Point to prompt.) Which shows water erosion: river, Moon, or desert?",Which shows water erosion?,river,Moon,desert,a,NA,River19.ai,Moon_Stars6.ai,Desert10.ai,Plants_Outdoors/Astronomy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M12,NA,11,S11ESS2.1,"M - Here are three pictures. (Point to answer choices.) Which shows a volcanic eruption: A, B, or C?",Which shows a volcanic eruption?,A,B,C,a,NA,Volcano1.ai,River18.ai,Lightning2.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M13,NA,11,S11ESS2.1,"M - This is a meteorite. (Point to meteor in prompt.) Which is formed when a meteor hits the Earth: river, crater, or mountain?",Which is formed when a meteorite hits the Earth?,river,crater,mountain,b,Comet.ai,River12.ai,Crater1.ai,Mountain2.2.ai,Astronomy/Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M18,NA,11,S11ESS2.1,"M - Here are three Earth features. (Point to answer choices.) Which is an example of a volcano erupting: A, B, or C?",Which is an example of a volcano erupting?,A,B,C,a,NA,Volcano1.ai,Mountain2.2.ai,Lake3.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M19,NA,11,S11ESS2.1,"M - Here is big city. (Point to prompt.) Which shows evidence of an earthquake: A, B, or C?",Which shows evidence of an earthquake?,A,B,C,b,Building4.ai,Building4.ai,Building3.ai,Building5.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M2,NA,11,S11ESS2.1,"M - Here is a cracked road. (Point to prompt.) Which could have caused this crack: a thunderstorm, birds, or an Earthquake?",Which could have caused this crack?,thunderstorm,birds,earthquake,c,Mountains_Road2.ai,Lightning2.ai,Bird_Cloud.ai,Earthquake2.ai,Plants_Outdoors/Animals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M3,NA,11,S11ESS2.1,"M - Here is a crater. (Point to prompt.) Which could have caused this crater: the wind, a meteorite, or a glacier?",Which could have caused this crater?,wind,meteorite,glacier,b,Crater3.ai,Wind5.ai,Comet.ai,Iceberg4.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
S11ESS2.1M8,NA,11,S11ESS2.1,"M - Here is house. (Point to prompt.) Which house shows evidence of an earthquake: A, B, or C?",Which house shows evidence of an earthquake?,A,B,C,b,House5.ai,House5.ai,House6.ai,House7.ai,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.05,NA,NA,NA
S11ESS2.1M9,NA,11,S11ESS2.1,"M - Here is a desert. (Point to prompt.) Which moves sand in the desert and creates dunes: wind, Sun, or trees?",Which moves sand in the desert and creates dunes?,wind,Sun,trees,a,Desert5.ai,Wind8.ai,Sun1.ai,Forest6.ai,Plants_Outdoors/Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
