item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M04GEO1.2_H11,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is a rectangle: A, B, or C?",Which of these shapes is a rectangle?,A,B,C,a,NA,NA,Rectangle3.ai,Trapezoid1.ai,Parallelogram1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.72,NA,NA,NA
M04GEO1.2_H12,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is rectangle: A, B, or C?",Which of these shapes is a rectangle?,A,B,C,c,NA,NA,Parallelogram2.ai,Trapezoid2.ai,Rectangle3.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.8,NA,NA,NA
M04GEO1.2_L01,4,M04GEO1.2,"L -  Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,c,NA,NA,Square1.ai,Diamond.ai,Triangle3.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.93,NA,NA,NA
M04GEO1.2_L02,4,M04GEO1.2,"L -  Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,a,NA,NA,Triangle4.ai,Circle1.ai,Rectangle4.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.09,NA,NA,NA
M04GEO1.2_L03,4,M04GEO1.2,"L -  Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,b,NA,NA,Star1.ai,Triangle4.ai,Diamond.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G4_M04GEO1.2_L03_intro.mp3,Math_G4_M04GEO1.2_L03_stem.mp3,Math_G4_M04GEO1.2_L03_a.mp3,Math_G4_M04GEO1.2_L03_b.mp3,Math_G4_M04GEO1.2_L03_c.mp3,FT,OI,OI,OI,NA,-2.55,-2.55,-2.55,-2.55
M04GEO1.2_L04,4,M04GEO1.2,"L -  Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,c,NA,NA,Trapezoid3.ai,Circle1.ai,Triangle5.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-2.02,NA,NA,NA
M04GEO1.2_M05,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is square: A, B, or C?",Which of these shapes is square?,A,B,C,a,NA,NA,Square1.ai,Rectangle5.ai,Circle1.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G4_M04GEO1.2_M05_intro.mp3,Math_G4_M04GEO1.2_M05_stem.mp3,Math_G4_M04GEO1.2_M05_a.mp3,Math_G4_M04GEO1.2_M05_b.mp3,Math_G4_M04GEO1.2_M05_c.mp3,FT,OI,OI,OI,NA,-1.81,-1.81,-1.81,-1.81
M04GEO1.2_M06,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is a rectangle: A, B, or C?",Which of these shapes is a rectangle?,A,B,C,b,NA,NA,Circle1.ai,Rectangle5.ai,Diamond.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.07,NA,NA,NA
M04GEO1.2_M07,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is a square: A, B, or C?",Which of these shapes is a square?,A,B,C,a,NA,NA,Square1.ai,Triangle5.ai,Rectangle5.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.7,NA,NA,NA
M04GEO1.2_M08,4,M04GEO1.2,"M -  Here are three shapes. (Point to student materials.) Which of these shapes is a rectangle: A, B, or C?",Which of these shapes is a rectangle?,A,B,C,c,NA,NA,Hexagon1.ai,Octagon1.ai,Rectangle4.ai,Shapes,prompt + graphic,graphic + letter,graphic + letter,graphic + letter,Math_G4_M04GEO1.2_M08_intro.mp3,Math_G4_M04GEO1.2_M08_stem.mp3,Math_G4_M04GEO1.2_M08_a.mp3,Math_G4_M04GEO1.2_M08_b.mp3,Math_G4_M04GEO1.2_M08_c.mp3,FT,OI,OI,OI,NA,-0.21,-0.21,-0.21,-0.21
M04GEO1.2_SAMPLE,4,M04GEO1.2,"L -  Here are three shapes. (Point to student materials.) Which of these shapes is a triangle: A, B, or C?",Which of these shapes is a triangle?,A,B,C,b,NA,NA,Circle1.ai,Triangle3.ai,Square1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_H09,4,M04GEO1.3,"H -  Here are three rectangles. (Point to student materials.) Which rectangle has a line that divides it in half: A, B, or C?",Which rectangle has a line that divides it in half?,A,B,C,b,NA,NA,Rectangle7.ai,Rectangle8.ai,Rectangle9.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.78,NA,NA,NA
M04GEO1.3_H10,4,M04GEO1.3,"H -  Here are three rectangles. (Point to student materials.) Which rectangle has a line that divides it in half: A, B, or C?",Which rectangle has a line that divides it in half?,A,B,C,a,NA,NA,Rectangle8.ai,Rectangle9.ai,Rectangle11.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M04GEO1.3_H11,4,M04GEO1.3,"H -  Here are three rectangles. (Point to student materials.) Which rectangle has a line that divides it in half: A, B, or C?",Which rectangle has a line that divides it in half?,A,B,C,c,NA,NA,Rectangle12.ai,Rectangle13.ai,Rectangle14.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_H12,4,M04GEO1.3,"H -  Here are three rectangles. (Point to student materials.) Which rectangle has a line that divides it in half: A, B, or C?",Which rectangle has a line that divides it in half?,A,B,C,b,NA,NA,Rectangle12.ai,Rectangle15.ai,Rectangle16.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_L01,4,M04GEO1.3,"L -  Here are three squares with lines across them. (Point to student materials.) Which square has a line that divides it in half: A, B, or C?",Which square has a line that divides it in half?,A,B,C,c,NA,NA,Square1.ai,Square13.ai,Square11.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.36,NA,NA,NA
M04GEO1.3_L02,4,M04GEO1.3,"L -  Here are three diamonds with lines across them. (Point to student materials.) Which diamond has a line that divides it in half: A, B, or C?",Which diamond has a line that divides it in half?,A,B,C,a,NA,NA,Diamond1.ai,Diamond2.ai,Diamond3.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_L03,4,M04GEO1.3,"L -  Here are three ovals with lines across them. (Point to student materials.) Which oval has a line that divides it in half: A, B, or C?",Which oval has a line that divides it in half?,A,B,C,b,NA,NA,Oval1.ai,Oval2.ai,Oval3.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_L04,4,M04GEO1.3,"L -  Here are three triangles with lines across them. (Point to student materials.) Which triangle has a line that divides it in half: A, B, or C?",Which triangle has a line that divides it in half?,A,B,C,a,NA,NA,Triangle6.ai,Triangle7.ai,Triangle8.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_M05,4,M04GEO1.3,"M -  Here are three squares with lines across them. (Point to student materials.) Which square has a line that divides it in half: A, B, or C?",Which square has a line that divides it in half?,A,B,C,b,NA,NA,Square10.ai,Square11.ai,Square12.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G4_M04GEO1.3_M05_intro.mp3,Math_G4_M04GEO1.3_M05_stem.mp3,Math_G4_M04GEO1.3_M05_a.mp3,Math_G4_M04GEO1.3_M05_b.mp3,Math_G4_M04GEO1.3_M05_c.mp3,FT,OI,OI,OI,NA,-0.64,-0.64,-0.64,-0.64
M04GEO1.3_M06,4,M04GEO1.3,"M -  Here are three circles with lines across them. (Point to student materials.) Which circle has a line that divides it in half: A, B, or C?",Which circle has a line that divides it in half,A,B,C,a,NA,NA,Circle5.ai,Circle6.ai,Circle7.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_M07,4,M04GEO1.3,"M -  Here are three squares with lines across them. (Point to student materials.) Which square has a line that divides it in half: A, B, or C?",Which square has a line that divides it in half,A,B,C,b,NA,NA,Square10.ai,Square14.ai,Square15.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_M08,4,M04GEO1.3,"M -  Here are three circles with lines across them. (Point to student materials.) Which circle has a line that divides it in half: A, B, or C?",Which circle has a line that divides it in half?,A,B,C,c,NA,NA,Square16.ai,Square17.ai,Square11.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04GEO1.3_SAMPLE,4,M04GEO1.3,"M -  Here are three circles with lines across them. (Point to student materials.) Which circle has a line that divides it in half: A, B, or C?",Which circle has a line that divides it in half?,A,B,C,b,NA,NA,Circle8.ai,Circle9.ai,Circle10.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_H09,4,M04MED1.1,"H -  Here are pictures with two baseball bats. (Point to student materials.) One baseball bat is 3 feet long. The other baseball bat is 4 feet long. Which baseball bat is longer: 3 ft., 4 ft., or are they the same?",Which baseball bat is longer?,3 ft.,4 ft.,same,b,NA,Baseball2.ai,NA,NA,NA,Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_H10,4,M04MED1.1,"H -  Here is a picture with two boys. (Point to student materials.) One boy is 3 feet tall. The other boy is 4 feet tall. Which boy is shorter: 3 ft., 4 ft., or they are the same?",Which boy is shorter?,3 ft.,4 ft.,same,a,NA,Boy_Height.ai,NA,NA,NA,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_H11,4,M04MED1.1,"H -  Here are pictures with two boys on scales. One boy weighs 80 pounds. The other boy weighs 82 pounds. Which boy weighs less: 80 lbs., 82 lbs., or do they weigh the same?",Which boy weighs less?,80 lbs.,82 lbs.,same,a,NA,Feet_Scale_Weight.ai,NA,NA,NA,People,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_H12,4,M04MED1.1,"H -  Here is a picture with two clocks. (Point to student materials.) One clock reads 6:05 PM. The other clock reads 6:05 PM. Which clock shows a later time: A, B, or are they the same?",Which clock shows a later time?,A,B,same,c,NA,Clock10.ai,NA,NA,NA,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.81,NA,NA,NA
M04MED1.1_L01,4,M04MED1.1,"L -  Here is a picture with two pencils and a ruler. (Point to student materials.) One pencil is 3 inches long. The other pencil is 9 inches long. Which pencil is longer: 3 inches, 9 inches, or are they the same?",Which pencil is longer?,3,9,same,b,NA,Pencil2.ai,NA,NA,NA,Measurement,prompt + graphic,number only,number only,number only,Math_G4_M04MED1.1_L01_intro.mp3,Math_G4_M04MED1.1_L01_stem.mp3,Math_G4_M04MED1.1_L01_a.mp3,Math_G4_M04MED1.1_L01_b.mp3,Math_G4_M04MED1.1_L01_c.mp3,FT,OI,OI,OI,NA,-1.53,-1.53,-1.53,-1.53
M04MED1.1_L02,4,M04MED1.1,"L -  Here is a picture with two cats on two scales. (Point to student materials.) The first cat weighs 5 pounds. The second cat weighs 10 pounds. Which cat weighs more: 5 pounds, 10 pounds, or are they the same?",Which cat weighs more?,5,10,same,b,NA,Weighing_Cats1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_L03,4,M04MED1.1,"L -  Here is a picture with two stacks of books. Each book weighs 1 pound. (Point to student materials.) One stack has 3 books and weighs 3 pounds. One stack has 10 books and weighs 10 pounds. Which stack of books is heavier: 3, 10, or are they the same?",Which stack of books is heavier?,3,10,same,b,NA,Book4.ai,NA,NA,NA,Classroom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_L04,4,M04MED1.1,"L -  Here is a picture with two clocks. (Point to student materials.) One shows the time is 2:00 pm. The other shows the time is 8:00 pm. Which clock shows the later time: 2:00 pm, 8:00 pm, or are they the same?",Which clock shows the later time?,8.3333333333333329E-2,0.20833333333333334,same,b,NA,Digital_Clock4.ai,NA,NA,NA,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_M05,4,M04MED1.1,"M -  Here is a picture of two timers. (Point to student materials.) One shows a time of 2 minutes. The other shows a time of 5 minutes. Which timer shows a greater amount of time: 2 minutes, 5 minutes, or are they the same?",Which timer shows a greater amount of time?,8.3333333333333329E-2,0.20833333333333334,same,b,NA,Watch1.ai,NA,NA,NA,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_M06,4,M04MED1.1,"M -  Here is a picture with two pencils and a ruler. (Point to student materials.) One pencil is 4 inches long. The other pencil is 7 inches long. Which pencil is shorter: 4 inches, 7 inches, or are they the same?",Which pencil is shorter?,4 in.,7 in.,Same,a,NA,Pencil3.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_M07,4,M04MED1.1,"M -  Here is a picture with two trees. (Point to student materials.) One tree is 4 feet tall. The other tree is 8 feet tall. Which tree is taller: 4 ft., 8 ft., or are they the same?",Which tree is taller?,4 ft.,8 ft.,Same,b,NA,Tree_Heights.ai,NA,NA,NA,Plants_Outdoors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.1_M08,4,M04MED1.1,"M -  Here is a picture with two bowling balls on scales. (Point to student materials.) One bowling ball is 10 pounds. The other is 7 pounds. Which bowling ball is heavier: 10 lbs., 7 lbs., or are they the same?",Which bowling ball is heavier?,10 lbs.,7 lbs.,same,a,NA,Scale_BowlingBalls.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.73,NA,NA,NA
M04MED1.1_SAMPLE,4,M04MED1.1,"L -  Here is a picture with two stop watches. (Point to student materials.) One shows that 2 minutes have gone by. The other shows that 7 minutes have gone by. Which clock shows a greater time has gone by: 2, 7, or are they the same?",Which clock shows a greater time has gone by?,2,7,same,b,NA,Watch2.ai,NA,NA,NA,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04MED1.2_H09,4,M04MED1.2,"H -  Here is a ruler and a boot. (Point to student materials.) Use the ruler to measure the boot. Is the boot 10, 11, or 12 inches tall?","Is the boot 10, 11, or 12 inches tall?",10,11,12,b,NA,Boot1.ai,NA,NA,NA,Measurement,prompt (SM),number only,number only,number only,Math_G4_M04MED1.2_H09_intro.mp3,Math_G4_M04MED1.2_H09_stem.mp3,Math_G4_M04MED1.2_H09_a.mp3,Math_G4_M04MED1.2_H09_b.mp3,Math_G4_M04MED1.2_H09_c.mp3,FT,OI,OI,OI,NA,0.63,0.63,0.63,0.63
M04MED1.2_H10,4,M04MED1.2,"H -  Here is a ruler and a bench. (Point to student materials.) Use the ruler to measure the bench. Is the bench 13, 14, or 15 inches tall?","Is the bench 13, 14, or 15 inches tall?",13,14,15,c,NA,Shelf1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.13,NA,NA,NA
M04MED1.2_H11,4,M04MED1.2,"H -  Here is a tape measure and a tree. (Point to student materials.) Use the tape measure to measure the tree. Is the tree 18, 19, or 20 feet tall?","Is the tree 18, 19, or 20 feet tall?",18,19,20,a,NA,Tree1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.5,NA,NA,NA
M04MED1.2_H12,4,M04MED1.2,"H -  Here are pictures of two clocks. (Point to student materials.) One clock reads 8:30 AM. The other clock reads 8:50 AM. What is the time difference between the clocks: 5 minutes, 10 minutes, or 20 minutes?",What is the time difference between the clocks?,5,10,20,c,NA,Clock11.ai,NA,NA,NA,Time,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.56,NA,NA,NA
M04MED1.2_L01,4,M04MED1.2,"L -  Here is a ruler and a paperclip. (Point to student materials.) Use the ruler to measure the paperclip. Is the paperclip 1, 2, or 3 inches long?","Is the paperclip 1, 2, or 3 inches long?",1,2,3,a,NA,Paper_Clip1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.67,NA,NA,NA
M04MED1.2_L02,4,M04MED1.2,"L -  Here is a ruler and a battery. (Point to student materials.) Use the ruler to measure the battery. Is the battery 1, 2, or 3 inches long?","Is the battery 1, 2, or 3 inches long?",1,2,3,b,NA,Battery1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.21,NA,NA,NA
M04MED1.2_L03,4,M04MED1.2,"L -  Here is a ruler and a key. (Point to student materials.) Use the ruler to measure the key. Is the key 2, 3, or 4 inches long?","Is the key 2, 3, or 4 inches long?",2,3,4,a,NA,Key1.ai,NA,NA,NA,Measurement,prompt + graphic,number only,number only,number only,Math_G4_M04MED1.2_L03_intro.mp3,Math_G4_M04MED1.2_L03_stem.mp3,Math_G4_M04MED1.2_L03_a.mp3,Math_G4_M04MED1.2_L03_b.mp3,Math_G4_M04MED1.2_L03_c.mp3,FT,OI,OI,OI,NA,-1.1,-1.1,-1.1,-1.1
M04MED1.2_L04,4,M04MED1.2,"L -  Here is a tape measure and a baseball bat. (Point to student materials.) Use the tape measure to measure the bat. Is the bat 3, 4, or 5 feet long?","Is the bat 3, 4, or 5 feet long?",3,4,5,a,NA,Baseball_Bat1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.98,NA,NA,NA
M04MED1.2_M05,4,M04MED1.2,"M -  Here is a ruler and a pencil. (Point to student materials.) Use the ruler to measure the pencil. Is the pencil 6, 7, or 8 inches long?","Is the pencil 6, 7, or 8 inches long?",6,7,8,a,NA,Pencil4.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.86,NA,NA,NA
M04MED1.2_M06,4,M04MED1.2,"M -  Here is a ruler and a book. (Point to student materials.) Use the ruler to measure the book. Is the book 6, 7, or 8 inches long?","Is the book 6, 7, or 8 inches long?",6,7,8,c,NA,Book1.ai,NA,NA,NA,Measurement,prompt + graphic,number only,number only,number only,Math_G4_M04MED1.2_M06_intro.mp3,Math_G4_M04MED1.2_M06_stem.mp3,Math_G4_M04MED1.2_M06_a.mp3,Math_G4_M04MED1.2_M06_b.mp3,Math_G4_M04MED1.2_M06_c.mp3,FT,OI,OI,OI,NA,-0.75,-0.75,-0.75,-0.75
M04MED1.2_M07,4,M04MED1.2,"M -  Here is a ruler and a watch. (Point to student materials.) Use the ruler to measure the watch. Is the watch 8, 9, or 10 inches long?","Is the watch 8, 9, or 10 inches long?",8,9,10,b,NA,Watch1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.58,NA,NA,NA
M04MED1.2_M08,4,M04MED1.2,"M -  Here are two clocks. (Point to student materials.) One clock shows 6:00 pm. The other clock shows 6:10 pm. What is the time difference between the clocks: 1 minute, 5 minutes, or 10 minutes?",What is the time difference between the clocks?,1,5,10,c,NA,Clock12.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.19,NA,NA,NA
M04MED1.2_SAMPLE,4,M04MED1.2,"M -  Here is a ruler and a crayon. (Point to student materials.) Use the ruler to measure the crayon. Is the crayon 6, 8, or 9 inches long?","Is the crayon 6, 8, or 9 inches long?",6,8,9,a,NA,Crayon1.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
