item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M05GEO1.2_M07,5,M05GEO1.2,"(M) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis (Point to X-axis). What are the coordinates of point B: (6, 3), (4, 4), (6, 4)?",What are the coordinates of point B?,"(6, 3)","(4, 4)","(6, 4)",c,NA,"Graph_PointA(6,4).ai",NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05GEO1.2_M08,5,M05GEO1.2,"(M) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) What are the coordinates of point C: (3,2), (2,4), or (5,1)?",What are the coordinates of point C?,"(3, 2)","(2, 4)","(5, 1)",a,NA,"Graph_PointA(3,2).AI",NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,numbers only,numbers only,numbers only,Math_G5_M05GEO1.2_M08_intro.mp4,Math_G5_M05GEO1.2_M08_stem.mp4,Math_G5_M05GEO1.2_M08_a.mp4,Math_G5_M05GEO1.2_M08_b.mp4,Math_G5_M05GEO1.2_M08_c.mp4,FT,NA,NA,OI,NA,0.35,NA,NA,0.6684
M05GEO1.2_SAMPLE,5,M05GEO1.2,"(L) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) This point, A, is 2 units to the right and how many units up: 3, 4, or 5?","This point, A, is 2 units to the right and how many units up?",3,4,5,c,NA,Graph_PointA1.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05GEO2.4_H09,5,M05GEO2.4,"(H) Here are three shapes. (Point to student materials.) Which shape has 4 sides: A, B, or C?",Which shape has 4 sides?,A,B,C,b,NA,NA,Circle1.ai,Rectangle5.ai,Triangle1.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G5_M05GEO2.4_H09_intro.mp3,Math_G5_M05GEO2.4_H09_stem.mp3,Math_G5_M05GEO2.4_H09_a.mp3,Math_G5_M05GEO2.4_H09_b.mp3,Math_G5_M05GEO2.4_H09_c.mp3,FT,OI,OI,OI,NA,-1.25,-1.25,-1.25,-1.25
M05GEO2.4_H10,5,M05GEO2.4,"(H) Here are three shapes. (point to student materials.) Which shape has 4 angles: A, B, or C?",Which shape has 4 angles?,A,B,C,c,NA,NA,Triangle1.ai,Circle1.ai,Rectangle5.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.25,NA,NA,NA
M05GEO2.4_H11,5,M05GEO2.4,"(H) Here are three shapes. (Point to student materials.) Which shape has 4 right angles: A, B, or C?",Which shape has 4 right angles?,A,B,C,b,NA,NA,Circle1.ai,Rectangle5.ai,Triangle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.73,NA,NA,NA
M05GEO2.4_H12,5,M05GEO2.4,"(H) Here are three shapes. (Point to student materials.) Which shape has 2 sets of parallel sides: A, B, or C?",Which shape has 2 sets of parallel sides?,A,B,C,c,NA,NA,Circle1.ai,Triangle1.ai,Rectangle5.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G5_M05GEO2.4_H12_intro.mp3,Math_G5_M05GEO2.4_H12_stem.mp3,Math_G5_M05GEO2.4_H12_a.mp3,Math_G5_M05GEO2.4_H12_b.mp3,Math_G5_M05GEO2.4_H12_c.mp3,FT,OI,OI,OI,NA,0.31,0.31,0.31,0.31
M05GEO2.4_L01,5,M05GEO2.4,"(L) Here are three shapes. (Point to student materials.) Which shape has 3 sides: A, B, or C?",Which shape has 3 sides?,A,B,C,c,NA,NA,Square1.ai,Circle1.ai,Triangle9.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.88,NA,NA,NA
M05GEO2.4_L02,5,M05GEO2.4,"(L) Here are three shapes. (Point to student materials.) Which shape has 3 points: A, B, or C?",Which shape has 3 points?,A,B,C,b,NA,NA,Square1.ai,Triangle10.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.31,NA,NA,NA
M05GEO2.4_L03,5,M05GEO2.4,"(L) Here are three shapes. (Point to student materials). Which shape has 3 angles: A, B, or C?",Which shape has 3 angles?,A,B,C,c,NA,NA,Square1.ai,Circle1.ai,Triangle11.ai,Shapes,prompt (SM),graphic + letter,graphic + letter,graphic + letter,Math_G5_M05GEO2.4_L03_intro.mp3,Math_G5_M05GEO2.4_L03_stem.mp3,Math_G5_M05GEO2.4_L03_a.mp3,Math_G5_M05GEO2.4_L03_b.mp3,Math_G5_M05GEO2.4_L03_c.mp3,FT,OI,OI,OI,NA,-2.05,-2.05,-2.05,-2.05
M05GEO2.4_L04,5,M05GEO2.4,"(L) Here are three shapes. (Point to student materials.) Which shape has 3 sides, 3 points, and 3 angles: A, B, or C?","Which shape has 3 sides, 3 points, and 3 angles?",A,B,C,a,NA,NA,Triangle12.ai,Square1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.02,NA,NA,NA
M05GEO2.4_M05,5,M05GEO2.4,"(M) Here are three shapes. (Point to student materials.) Which shape has four sides: A, B, or C?",Which shape has four sides?,A,B,C,a,NA,NA,Square1.ai,Triangle11.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-1.47,NA,NA,NA
M05GEO2.4_M06,5,M05GEO2.4,"(M) Here are three shapes. (Point to student materials.) Which shape has a circumference: A, B, or C?",Which shape has a circumference?,A,B,C,c,NA,NA,Square1.ai,Triangle1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,OI,D,NA,-0.05,-0.05,-0.05,NA
M05GEO2.4_M07,5,M05GEO2.4,"(M) Here are three shapes. (Point to student materials.) Which shape has four angles: A, B, or C?",Which shape has four angles?,A,B,C,b,NA,NA,Circle1.ai,Square1.ai,Triangle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.85,NA,NA,NA
M05GEO2.4_M08,5,M05GEO2.4,"(M) Here are three shapes. (Point to student materials.) Which shape has no angles: A, B, or C?",Which shape has no angles?,A,B,C,a,NA,NA,Triangle1.ai,Circle1.ai,Square1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.58,NA,NA,NA
M05GEO2.4_SAMPLE,5,M05GEO2.4,"(M) Here are three shapes. (Point to student materials.) Which shape has four sides: A, B, or C?",Which shape has four sides?,A,B,C,a,NA,NA,Square1.ai,Triangle1.ai,Circle1.ai,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_H09,5,M05MED1.1,"(H) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 1/3 ruler: 3, 4, or 6 inches?",How many inches is 1/3 ruler?,3,4,6,b,NA,Ruler2.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M05MED1.1_H10,5,M05MED1.1,"(H) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 2/3 ruler: 6, 8, or 12 inches?",How many inches is 2/3 ruler?,6,8,12,c,NA,Ruler2.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_H11,5,M05MED1.1,"(H) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 2.5 rulers: 25, 28, or 30 inches?",How many inches is 2.5 rulers?,25,28,30,c,NA,Ruler3.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_H12,5,M05MED1.1,"(H) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 1.5 rulers: 18, 20, or 24 inches?",How many inches is 1.5 rulers?,18,20,24,a,NA,Ruler3.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.9,1.9,NA
M05MED1.1_L01,5,M05MED1.1,"(L) Here is a ruler showing that 12 inches is one foot. (Point to student materials.) How many inches is 1/2 of a ruler: 1, 6, or 10 inches?",How many inches is 1/2 of a ruler?,1,6,10,b,NA,Ruler4.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.16,NA,NA
M05MED1.1_L02,5,M05MED1.1,"(L) Here is a ruler showing that 12 inches is one foot. (Point to student materials.) How many inches is 1 whole ruler and 1 half of a ruler: 6, 10, or 18 inches?",How many inches is 1 whole ruler and 1 half of a ruler?,6,10,18,c,NA,Ruler5.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_L03,5,M05MED1.1,"(L) Here is a ruler showing that 12 inches is one foot. (Point to student materials.) How many inches is 1 whole ruler: 6, 12, or 20?",How many inches is 1 whole ruler?,6,12,20,b,NA,Ruler6.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_L04,5,M05MED1.1,"(L) Here is a ruler showing that 12 inches is one foot. (Point to student materials.) How many inches is 2 whole rulers: 6, 10, or 24 inches?",How many inches is 2 whole rulers?,6,10,24,c,NA,Ruler7.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_M05,5,M05MED1.1,"(M) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 1/4 of a foot: 1, 3, or 8 inches inches?",How many inches is 1/4 of a foot?,1,3,8,b,NA,Ruler8.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.02,NA
M05MED1.1_M06,5,M05MED1.1,"(M) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 2/4 of a foot: 2, 4, or 6 inches?",How many inches is 2/4 of a foot?,2,4,6,c,NA,Ruler8.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_M07,5,M05MED1.1,"(M) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 3/4 of a foot: 9, 10, or 12 inches?",How many inches is 3/4 of a foot?,9,10,12,a,NA,Ruler8.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED1.1_M08,5,M05MED1.1,"(M) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 1 and 1/3 feet: 12, 15, 18 inches?",How many inches is 1 and 1/3 feet?,12,15,18,b,changed to 1 and 1/3 feet instead of ruler,Ruler9.ai,NA,NA,NA,Measurement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M05MED1.1_SAMPLE,5,M05MED1.1,"(H) Here is a ruler, showing that 12 inches is one foot. (Point to student materials.) How many inches is 1.5 feet: 15, 18, or 21 inches?",How many inches is 1.5 feet?,15,18,21,b,NA,Ruler10.ai,NA,NA,NA,Measurement,prompt + graphic,number only,number only,number only,Math_G5_M05MED1.1_SAMPLE_intro.mp3,Math_G5_M05MED1.1_SAMPLE_stem.mp3,Math_G5_M05MED1.1_SAMPLE_a.mp3,Math_G5_M05MED1.1_SAMPLE_b.mp3,Math_G5_M05MED1.1_SAMPLE_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.7528
M05MED2.2_H09,5,M05MED2.2,"(H) Here is a line plot showing the number of hours Travis exercised. (Point to student materials.) Travis' goal was to exercise for 2 hours.How many more hours does Travis need to exercise to meet his goal: 1 and 1/4 hour, 1/2 hour, or 3/4 hour?",How many more hours does Travis need to exercise to meet his goal?,1.25,0.5,0.75,c,NA,NumberLine_0-1a.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.6,NA,NA,NA
M05MED2.2_H10,5,M05MED2.2,"(H) Here is a line plot showing the number of hours cookies Emma ate. (Point to student materials.) She wants to eat 5 cookies.How many more cookies does she need to eat: 1 and 3/4, 1/2, or 1?",How many more cookies does she need to eat?,1.75,0.5,1,c,NA,NumberLine_0-1b.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M05MED2.2_H11,5,M05MED2.2,"(H) Here is a line plot showing the number of miles Lila ran. (Point to student materials.) How many total miles did Lila run: 6 and 1/2, 7, or 7 and 1/4?",How many total miles did Lila run?,6.5,7,7.25,b,NA,NumberLine_0-1c.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M05MED2.2_H12,5,M05MED2.2,"(H) Here is a line plot showing the number of cups of water Sam drank. (Point to student materials.) How many total cups of water did Sam drink:  4.25, 4.5, or 4.75?",How many total cups of water did Sam drink?,4.25,4.5,4.75,c,NA,NumberLine_0-1d.AI,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.17,NA,NA,NA
M05MED2.2_L01,5,M05MED2.2,"(L) Here is a line plot of the number of books that Robin, Sue, and Amy read. (Point to student materials.) How many books did Sue read: 3, 4 or 6?",How many books did Sue read?,3,4,6,c,NA,NumberLine_Robin_Sue_Amy.ai,NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G5_M05MED2.2_L01_intro.mp3,Math_G5_M05MED2.2_L01_stem.mp3,Math_G5_M05MED2.2_L01_a.mp3,Math_G5_M05MED2.2_L01_b.mp3,Math_G5_M05MED2.2_L01_c.mp3,FT,OI,OI,OI,NA,-0.77,-0.77,-0.77,-0.77
M05MED2.2_L02,5,M05MED2.2,"(L) Here is a line plot of the number of miles that Lynne, Cameron, and Parker ran. (Point to student materials.) How many miles did Parker run: 2, 4, or 6?",How many miles did Parker run?,2,4,6,a,NA,NumberLine_Lynne_Cameron_Parker.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.19,NA,NA,NA
M05MED2.2_L03,5,M05MED2.2,"(L) Here is a line plot showing the number of cookies that Heidi, Marie, and Juan ate. (Point to student materials.) How many cookies did Marie eat: 7, 4, or 2?",How many cookies did Marie eat?,7,4,2,b,NA,NumberLine_Heidi_Marle_Juan.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,-0.48,NA,NA,NA
M05MED2.2_L04,5,M05MED2.2,"(L) Here is a line plot showing the number of slices of pizza that Adriana, Karen, and Liam ate. (Point to student materials.) How many slices of pizza did Karen eat: 2, 3, or 4?",How many slices of pizza did Karen eat?,2,3,4,b,NA,NumberLine_Adriana_Karen_Liam.ai,NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G5_M05MED2.2_L04_intro.mp3,Math_G5_M05MED2.2_L04_stem.mp3,Math_G5_M05MED2.2_L04_a.mp3,Math_G5_M05MED2.2_L04_b.mp3,Math_G5_M05MED2.2_L04_c.mp3,FT,OI,OI,OI,NA,-0.39,-0.39,-0.39,-0.39
M05MED2.2_M05,5,M05MED2.2,"(M) Here is a line plot showing the number of hours Fred, Forrest, and Franz spent reading this week. (Point to student materials.) How many total hours did Franz, Fred, and Forrest spend reading: 14, 15, or 16?","How many total hours did Franz, Fred, and Forrest spend reading?",14,15,16,b,NA,NumberLine_Franz_Fred_Forrest.ai,NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G5_M05MED2.2_M05_intro.mp3,Math_G5_M05MED2.2_M05_stem.mp3,Math_G5_M05MED2.2_M05_a.mp3,Math_G5_M05MED2.2_M05_b.mp3,Math_G5_M05MED2.2_M05_c.mp3,FT,OI,OI,OI,NA,0.63,0.63,0.63,0.63
M05MED2.2_M06,5,M05MED2.2,"(M) Here is a line plot showing the number of miles YuMin, Jennifer, and Taka ran this week. (Point to student materials.) How many total miles did YuMin, Jennifer, and Taka run: 36, 38, or 40?","How many total miles did YuMin, Jennifer, and Taka run?",36,38,40,a,NA,NumberLine_YuMin_Jennifer_Taka.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.59,NA,NA,NA
M05MED2.2_M07,5,M05MED2.2,"(M) Here is a line plot showing the number of hours Steph exercised so far this week. (Point to student materials.) Her goal is to exercise for 25  hours. How many more hours does Steph need to exercise to meet her goal:  3, 4, or 5?",How many more hours does Steph need to exercise to meet her goal?,3,4,5,b,NA,NumberLine_1-10l.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M05MED2.2_M08,5,M05MED2.2,"(M) Here is a line plot showing the number of apples Kraig picked so far this week. (Point to student materials.) His goal is to pick 100  apples. How many more apples does Kraig need to pick to meet his goal: 12, 14, or 16?",How many more apples does Kraig need to pick to meet his goal?,12,14,16,b,NA,NumberLine_5-50.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.48,NA,NA,NA
M05MED2.2_SAMPLE,5,M05MED2.2,"(L) Here is a line plot of the number of apples that Lina, Brandy, and Jess picked. (Point to student materials.) How many apples did Jess pick: 3, 5, or 7?",How many apples did Jess pick?,3,5,7,b,NA,NumberLine_Lina_Brandy_Jess.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05MED3.4_H09,5,M05MED3.4,"(H) Here is a unit cube that is 1-inch, by 1-inch, by 1-inch and a box that is 6 inches long, 2 inches wide, and 2 inches high. (Point to student materials.) Volume equals L x W, x H. How many unit cubes will fit in this box: 22, 24, or 28?",How many unit cubes will fit in this box?,22,24,28,b,NA,Square_Cubes47.ai,NA,NA,NA,Shapes,prompt + graphic,number only,number only,number only,Math_G5_M05MED3.4_H09_intro.mp3,Math_G5_M05MED3.4_H09_stem.mp3,Math_G5_M05MED3.4_H09_a.mp3,Math_G5_M05MED3.4_H09_b.mp3,Math_G5_M05MED3.4_H09_c.mp3,FT,OI,OI,OI,NA,1.58,1.58,1.58,1.58
M05MED3.4_H10,5,M05MED3.4,"(H) Here is a unit cube that is 1-inch, by 1-inch, by 1-inch and a box that is 5 inches long, 3 inches wide, and 2 inches high. (Point to student materials.) Volume equals L x W, x H. How many unit cubes will fit in this box: 25, 29, or 30?",How many unit cubes will fit in this box?,25,29,30,c,NA,Square_Cubes48.ai,NA,NA,NA,Shapes,prompt + graphic,number only,number only,number only,Math_G5_M05MED3.4_H10_intro.mp3,Math_G5_M05MED3.4_H10_stem.mp3,Math_G5_M05MED3.4_H10_a.mp3,Math_G5_M05MED3.4_H10_b.mp3,Math_G5_M05MED3.4_H10_c.mp3,FT,OI,OI,OI,NA,0.79,0.79,0.79,0.79
M05MED3.4_H11,5,M05MED3.4,"(H) Here is a unit cube that is 1-inch, by 1-inch, by 1-inch and a box that is 4 inches long, 2 inches wide, and 3 inches high. (Point to student materials.) Volume equals L x W, x H. How many unit cubes will fit in this box: 24, 26, or 30?",How many unit cubes will fit in this box?,24,26,30,a,NA,Square_Cubes49.AI,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.31,NA,NA,NA
M05MED3.4_H12,5,M05MED3.4,"(H) Here is a unit cube that is 1-inch, by 1-inch, by 1-inch and a box that is 7 inches long, 4 inches wide, and 1 inch high. (Point to student materials.) Volume equals L x W, x H. How many unit cubes will fit in this box: 26, 28, or 30?",How many unit cubes will fit in this box?,26,28,30,b,NA,Square_Cubes50.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.38,NA,NA,NA
M05MED3.4_L01,5,M05MED3.4,"(L) Here is a unit cube that is 1-inch, by 1-inch, by 1-inch and a box that is 2 inches long, 2 inches wide, and 2 inches high. (Point to student materials.) Volume equals L x W, x H or 2 x 2 x 2. How many unit cubes will fit in this box: 4, 6, or 8?",How many unit cubes will fit in this box?,4,6,8,c,NA,Square_Cubes51.ai,NA,NA,NA,Shapes,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.86,NA,NA,NA
