4.4 Scoring,"The State has established and documented standardized scoring procedures and protocols for its assessments that are designed to produce reliable results, facilitate valid score interpretations, and report assessment results in terms of the State’s academic achievement standards. "
4.5 Multiple assessment forms,"If the State administers multiple forms within a content area and grade level, within or across school years, the State ensures that all forms adequately represent the State’s academic content standards and yield consistent score interpretations such that the forms are comparable within and across school years. "
4.6 Multiple versions of an assessment,"If the State administers assessments in multiple versions within a content area, grade level, or school year, the State: "
,A)   Followed a design and development process to support comparable interpretations of results for students tested across the versions of the assessments;
,B)   Documented adequate evidence of comparability of the meaning and interpretations of the assessment results. 
4.7 Technical analyses and ongoing maintenance,"The State has a system for monitoring and maintaining, and improving as needed, the quality of its assessment system, including clear and technically sound criteria for the analyses of all of the assessments in its assessment system (i.e., general assessments and alternate assessments)."
,
Critical Element 5 - Inclusion of all students,
5.1 Procedures for including SWDs,"The State has in place procedures to ensure the inclusion of all public elementary and secondary school students with disabilities in the State’s assessment system, including, at a minimum, guidance for IEP Teams to inform decisions about student assessments that: "
,"A)   Provides clear explanations of the differences between assessments based on grade-level academic achievement standards and assessments based on alternate academic achievement standards, including any effects of State and local policies on a student’s education resulting from taking an alternate assessment based on alternate academic achievement standards; "
,B)   States that decisions about how to assess students with disabilities must be made by a student’s IEP Team based on each student’s individual needs; 
,"C)   Provides guidelines for determining whether to assess a student on the general assessment without accommodation(s), the general assessment with accommodation(s), or an alternate assessment; "
,D)  Provides information on accessibility tools and features available to students in general and assessment accommodations available for students with disabilities; 
,E)   Provides guidance regarding selection of appropriate accommodations for students with disabilities; 
,F)   Includes instructions that students eligible to be assessed based on alternate academic achievement standards may be from any of the disability categories listed in the IDEA; 
,"G)   Ensures that parents of students with the most significant cognitive disabilities are informed that their student’s achievement will be based on alternate academic achievement standards and of any possible consequences of taking the alternate assessments resulting from district or State policy (e.g., ineligibility for a regular high school diploma if the student does not demonstrate proficiency in the content area on the State’s general assessments); "
,H)  The State has procedures in place to ensure that its implementation of alternate academic achievement standards for students with the most significant cognitive disabilities promotes student access to the general curriculum.
5.2 Procedures for including ELs,"The State has in place procedures to ensure the inclusion of all English learners in public elementary and secondary schools in the State’s assessment system and clearly communicates this information to districts, schools, teachers, and parents, including, at a minimum: "
,A)   Procedures for determining whether an English learner should be assessed with accommodation(s); 
,B)   Information on accessibility tools and features available to all students and assessment accommodations available for English learners;
,C)    Guidance regarding selection of appropriate accommodations for English learners. 
5.3 Accommodations,"The State makes available appropriate accommodations and ensures that its assessments are accessible to students with disabilities and English learners. Specifically, the State: "
,A)   Ensures that appropriate accommodations are available for students with disabilities under IDEA and students covered by Section 504; 
,B)   Ensures that appropriate accommodations are available for English learners; 
,"C)    Has determined that the accommodations it provides (i) are appropriate and effective for meeting the individual student’s need(s) to participate in the assessments, (ii) do not alter the construct being assessed, and (iii) allow meaningful interpretations of results and comparison of scores for students who need and receive accommodations and students who do not need and do not receive accommodations; "
,D)   Has a process to individually review and allow exceptional requests for a small number of students who require accommodations beyond those routinely allowed. 
5.4 Monitoring test administration for special populations,"The State monitors test administration in its districts and schools to ensure that appropriate assessments, with or without appropriate accommodations, are selected for students with disabilities under IDEA, students covered by Section 504, and English learners so that they are appropriately included in assessments and receive accommodations that are: "
,A)   Consistent with the State’s policies for accommodations; 
,B)   Appropriate for addressing a student’s disability or language needs for each assessment administered; 
,C)    Consistent with accommodations provided to the students during instruction and/or practice; 
,"D)   Consistent with the assessment accommodations identified by a student’s IEP Team or 504 team for students with disabilities, or another process for an English learner; "
,E)   Administered with fidelity to test administration procedures. 
,
Critical Element 6 - Academic achievement standards and reporting,
6.1 State adoption of academic achievement standards for all students,"The State formally adopted challenging academic achievement standards in reading/language arts, mathematics and in science for all students, specifically: "
,"A)   The State formally adopted academic achievement standards in the required tested grades and, at its option, also alternate academic achievement standards for students with the most significant cognitive disabilities; "
,"B)   The State applies its grade-level academic achievement standards to all public elementary and secondary school students enrolled in the grade to which they apply, with the exception of students with the most significant cognitive disabilities to whom alternate academic achievement standards may apply; "
,"C)    The State’s academic achievement standards and, as applicable, alternate academic achievement standards, include: (a) At least three levels of achievement, with two for high achievement and a third for lower achievement; (b) descriptions of the competencies associated with each achievement level; and (c) achievement scores that differentiate among the achievement levels. "
6.2 Achievement standard setting,The State used a technically sound method and process that involved panelists with appropriate experience and expertise for setting its academic achievement standards and alternate academic achievement standards to ensure they are valid and reliable. 
6.3 Challenging and aligned academic achievement standards,The State’s academic achievement standards are challenging and aligned with the State’s academic content standards such that a high school student who scores at the proficient or above level has mastered what students are expected to know and be able to do by the time they graduate from high school in order to succeed in college and the workforce. 
,"If the State has defined alternate academic achievement standards for students with the most significant cognitive disabilities, the alternate academic achievement standards are linked to the State’s grade-level academic content standards or extended academic content standards, show linkage to different content across grades, and reflect professional judgment of the highest achievement standards possible for students with the most significant cognitive disabilities."
,"The State reports its assessment results, and the reporting facilitates timely, appropriate, credible, and defensible interpretations and uses of results for students tested by parents, educators, State officials, policymakers and other stakeholders, and the public, including: "
6.4 Reporting ,A)   The State reports to the public its assessment results on student achievement at each proficiency level and the percentage of students not tested for all students and each student group after each test administration; 
,"B)   The State reports assessment results, including itemized score analyses, to districts and schools so that parents, teachers, principals, and administrators can interpret the results and address the specific academic needs of students, and the State also provides interpretive guides to support appropriate uses of the assessment results; "
,"C)    The State provides for the production and delivery of individual student interpretive, descriptive, and diagnostic reports after each administration of its assessments that: "
,1)      Provide valid and reliable information regarding a student’s achievement; 
,2)      Report the student’s achievement in terms of the State’s grade-level academic achievement standards (including performance-level descriptors);
,"3)      Provide information to help parents, teachers, and principals interpret the test results and address the specific academic needs of students;"
,"4)      Are available in alternate formats (e.g., Braille or large print) upon request and, to the extent practicable, in a native language that parents can understand;"
,"5)      The State follows a process and timeline for delivering individual student reports to parents, teachers, and principals as soon as practicable after each test administration. "
